date,unit_value_usd,country
2022-09-07,1044.09,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-08,0.96,"TANZANIA, UNITED REPUBLIC OF"
2022-09-07,0.80,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-08,0.80,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-09,1.03,PHILIPPINES
2022-09-09,1099.95,UNITED ARAB EMIRATES
2022-09-09,1099.95,UNITED STATES
2022-09-13,10.48,NEPAL
2022-09-14,1.91,NEPAL
2022-09-14,6.35,NEPAL
2022-09-15,1.79,QATAR
2022-09-15,5.42,NEPAL
2022-09-16,0.00,NEPAL
2022-09-16,16.01,UGANDA
2022-09-19,19.70,IRAQ
2022-09-20,1009.23,QATAR
2022-09-21,2.38,NEPAL
2022-09-21,1427.48,QATAR
2022-09-21,1093.49,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-24,1.04,UGANDA
2022-09-24,1.07,ARGENTINA
2022-09-24,1.07,JORDAN
2022-09-25,1.64,NEPAL
2022-09-30,1050.86,KENYA
2022-09-22,4.75,EGYPT
2022-09-29,8.51,EGYPT
2022-08-02,1.52,NEPAL
2022-08-02,945.85,SRI LANKA
2022-08-02,1088.42,SAUDI ARABIA
2022-08-02,1088.42,SAUDI ARABIA
2022-08-02,945.85,SRI LANKA
2022-08-02,945.85,SRI LANKA
2022-08-02,1088.42,SAUDI ARABIA
2022-08-02,1088.42,SAUDI ARABIA
2022-08-02,945.85,SRI LANKA
2022-08-02,945.85,SRI LANKA
2022-08-02,1088.42,SAUDI ARABIA
2022-08-04,6.82,"TANZANIA, UNITED REPUBLIC OF"
2022-08-04,176.77,NEPAL
2022-08-05,1.04,"TANZANIA, UNITED REPUBLIC OF"
2022-08-05,835.06,UNITED ARAB EMIRATES
2022-08-05,1.04,"TANZANIA, UNITED REPUBLIC OF"
2022-08-06,47.74,GUINEA
2022-08-06,1.00,KENYA
2022-08-07,1.17,NEPAL
2022-08-07,2.23,NEPAL
2022-08-07,994.01,SRI LANKA
2022-08-07,1025.33,KENYA
2022-08-07,1025.33,KENYA
2022-08-07,994.01,SRI LANKA
2022-08-07,1027.65,UNITED ARAB EMIRATES
2022-08-07,1027.65,UNITED ARAB EMIRATES
2022-08-10,0.00,"IRAN, ISLAMIC REPUBLIC OF"
